ac_no,st_code,st_name,ac_name
94,S12,Madhya Pradesh,Bahoriband
95,S12,Madhya Pradesh,Patan
96,S12,Madhya Pradesh,Bargi
97,S12,Madhya Pradesh,Jabalpur East
98,S12,Madhya Pradesh,Jabalpur North
99,S12,Madhya Pradesh,Jabalpur Cantt
100,S12,Madhya Pradesh,Jabalpur West
101,S12,Madhya Pradesh,Panagar
102,S12,Madhya Pradesh,Sihora
103,S12,Madhya Pradesh,Shahpura
104,S12,Madhya Pradesh,Dindori
105,S12,Madhya Pradesh,Bichhiya
106,S12,Madhya Pradesh,Niwas
107,S12,Madhya Pradesh,Mandla
108,S12,Madhya Pradesh,Baihar
109,S12,Madhya Pradesh,Lanji
110,S12,Madhya Pradesh,Paraswada
111,S12,Madhya Pradesh,Balaghat
112,S12,Madhya Pradesh,Waraseoni
113,S12,Madhya Pradesh,Katangi
114,S12,Madhya Pradesh,Barghat
115,S12,Madhya Pradesh,Seoni
116,S12,Madhya Pradesh,Keolari
117,S12,Madhya Pradesh,Lakhnadon
118,S12,Madhya Pradesh,Gotegaon
119,S12,Madhya Pradesh,Narsingpur
120,S12,Madhya Pradesh,Tendukheda
121,S12,Madhya Pradesh,Gadarwara
122,S12,Madhya Pradesh,Junnardeo
123,S12,Madhya Pradesh,Amarwara
124,S12,Madhya Pradesh,Churai
125,S12,Madhya Pradesh,Sausar
126,S12,Madhya Pradesh,Chhindwara
127,S12,Madhya Pradesh,Parasiya
128,S12,Madhya Pradesh,Pandhurna
129,S12,Madhya Pradesh,Multai
130,S12,Madhya Pradesh,Amla
131,S12,Madhya Pradesh,Betul
132,S12,Madhya Pradesh,Ghodadongri
133,S12,Madhya Pradesh,Bhainsdehi
134,S12,Madhya Pradesh,Timarni
135,S12,Madhya Pradesh,Harda
136,S12,Madhya Pradesh,Seoni Malwa
137,S12,Madhya Pradesh,Hoshangabad
138,S12,Madhya Pradesh,Sohagpur
139,S12,Madhya Pradesh,Pipariya
140,S12,Madhya Pradesh,Udaipura
141,S12,Madhya Pradesh,Bhojpur
142,S12,Madhya Pradesh,Sanchi
143,S12,Madhya Pradesh,Silwani
144,S12,Madhya Pradesh,Vidisha
145,S12,Madhya Pradesh,Basoda
146,S12,Madhya Pradesh,Kurwai
147,S12,Madhya Pradesh,Sironj
148,S12,Madhya Pradesh,Shamshabad
149,S12,Madhya Pradesh,Berasia
150,S12,Madhya Pradesh,Bhopal Uttar
151,S12,Madhya Pradesh,Narela
152,S12,Madhya Pradesh,Bhopal Dakshina-Pashchim
153,S12,Madhya Pradesh,Bhopal Madhya
154,S12,Madhya Pradesh,Govindpura
155,S12,Madhya Pradesh,Huzur
156,S12,Madhya Pradesh,Budhni
157,S12,Madhya Pradesh,Ashta
158,S12,Madhya Pradesh,Ichhawar
159,S12,Madhya Pradesh,Sehore
160,S12,Madhya Pradesh,Narsinghgarh
161,S12,Madhya Pradesh,Biaora
162,S12,Madhya Pradesh,Rajgarh
163,S12,Madhya Pradesh,Khilchipur
164,S12,Madhya Pradesh,Sarangpur
165,S12,Madhya Pradesh,Susner
166,S12,Madhya Pradesh,Agar
167,S12,Madhya Pradesh,Shajapur
168,S12,Madhya Pradesh,Shujalpur
169,S12,Madhya Pradesh,Kalapipal
170,S12,Madhya Pradesh,Sonkatch
171,S12,Madhya Pradesh,Dewas
172,S12,Madhya Pradesh,Hatpipliya
173,S12,Madhya Pradesh,Khategaon
174,S12,Madhya Pradesh,Bagli
175,S12,Madhya Pradesh,Mandhata
176,S12,Madhya Pradesh,Harsud
177,S12,Madhya Pradesh,Khandwa
178,S12,Madhya Pradesh,Pandhana
179,S12,Madhya Pradesh,Nepanagar
180,S12,Madhya Pradesh,Burhanpur
181,S12,Madhya Pradesh,Bhikangaon
182,S12,Madhya Pradesh,Badwaha
183,S12,Madhya Pradesh,Maheshwar
184,S12,Madhya Pradesh,Kasrawad
185,S12,Madhya Pradesh,Khargone
186,S12,Madhya Pradesh,Bhagwanpura
187,S12,Madhya Pradesh,Sendhwa
