st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,26,Pichhore,SURENDRA DATT YADAV,Bhartiya Shakti Chetna Party,391,3,394,0.25
S12,Madhya Pradesh,26,Pichhore,SANTOSH KAIVART,Gondvana Gantantra Party,2665,24,2689,1.71
S12,Madhya Pradesh,26,Pichhore,RISHABH DEVAL,Independent,202,0,202,0.13
S12,Madhya Pradesh,26,Pichhore,KOMAL RAJPUT,Independent,304,3,307,0.2
S12,Madhya Pradesh,26,Pichhore,DHARMENDRA KUMAR SEN,Independent,553,2,555,0.35
S12,Madhya Pradesh,26,Pichhore,BABITA TONDE,Independent,605,1,606,0.39
S12,Madhya Pradesh,26,Pichhore,MAHESH KUMAR SONWANI,Independent,957,0,957,0.61
S12,Madhya Pradesh,26,Pichhore,VEENA MARKANDE,Independent,3197,0,3197,2.04
S12,Madhya Pradesh,26,Pichhore,SANJEET BURMAN,Independent,24959,167,25126,16.0
S12,Madhya Pradesh,26,Pichhore,NOTA,None of the Above,813,1,814,0.52
S12,Madhya Pradesh,27,Kolaras,DEEPAK PATRE,Aam Aadmi Party,2070,10,2080,1.21
S12,Madhya Pradesh,27,Kolaras,PUNNULAL MOHLE,Bharatiya Janata Party,84869,560,85429,49.72
S12,Madhya Pradesh,27,Kolaras,SAMARU BHASKAR,Bahujan Samaj Party,2660,45,2705,1.57
S12,Madhya Pradesh,27,Kolaras,Dr. SARITA BHARDWAJ,Janta Congress Chhattisgarh (J),1440,8,1448,0.84
S12,Madhya Pradesh,27,Kolaras,SANJEET BANARJEE,Indian National Congress,73135,513,73648,42.86
S12,Madhya Pradesh,27,Kolaras,ARCHANA MARKANDE,Bhartiya Sarvjan Hitay Samaj Party,756,2,758,0.44
S12,Madhya Pradesh,27,Kolaras,BHIKHAM CHAND GARG,Rashtriya Jansabha Party,217,1,218,0.13
S12,Madhya Pradesh,27,Kolaras,YAKUB LAL PATREY,Prabuddha Republican Party,163,0,163,0.09
S12,Madhya Pradesh,27,Kolaras,RAJRATNA UKEY,National Youth Party,185,0,185,0.11
S12,Madhya Pradesh,27,Kolaras,SANJAY GANDHARV,Bhartiya Shakti Chetna Party,395,1,396,0.23
S12,Madhya Pradesh,27,Kolaras,ASHOK NAT,Independent,369,0,369,0.21
S12,Madhya Pradesh,27,Kolaras,ASHARAM LAHRE,Independent,994,0,994,0.58
S12,Madhya Pradesh,27,Kolaras,ASHISH KUMAR BANDHLEY,Independent,408,1,409,0.24
S12,Madhya Pradesh,27,Kolaras,ROOPLAL KOSARE,Independent,619,5,624,0.36
S12,Madhya Pradesh,27,Kolaras,VISHNU KUMAR KHANDE,Independent,1143,0,1143,0.67
S12,Madhya Pradesh,27,Kolaras,NOTA,None of the Above,1243,9,1252,0.73
S12,Madhya Pradesh,28,Bamori,DINESH KUMAR KAUSHIK,Janta Congress Chhattisgarh (J),1483,18,1501,0.83
S12,Madhya Pradesh,28,Bamori,DHARMJEET SINGH,Bharatiya Janata Party,90295,683,90978,50.58
S12,Madhya Pradesh,28,Bamori,MOHAN MISHRA (SAKRI WALE),Bahujan Samaj Party,1913,25,1938,1.08
S12,Madhya Pradesh,28,Bamori,RASHMI ASHISH SINGH,Indian National Congress,75650,436,76086,42.3
S12,Madhya Pradesh,28,Bamori,MO. IRFAN KHAN,National Youth Party,727,2,729,0.41
S12,Madhya Pradesh,28,Bamori,GEETA RAM SAHU,Bhartiya Shakti Chetna Party,236,1,237,0.13
S12,Madhya Pradesh,28,Bamori,JAYCHAND KASHYAP,Johar Chhattisgarh Party,182,1,183,0.1
S12,Madhya Pradesh,28,Bamori,DINESH PRATAP SINGH KHUSARO NIKHIL,Rashtriya Gondvana Party,188,3,191,0.11
S12,Madhya Pradesh,28,Bamori,RAMBANVASH JAGAT,Hamar Raj Party,199,1,200,0.11
S12,Madhya Pradesh,28,Bamori,SURESH DIWAKAR- GURUJI,Ambedkarite Party of India,647,5,652,0.36
S12,Madhya Pradesh,28,Bamori,DINESH KUMAR SAHU,Independent,388,1,389,0.22
S12,Madhya Pradesh,28,Bamori,RAMESHWAR SAHU,Independent,756,0,756,0.42
S12,Madhya Pradesh,28,Bamori,SANJEEV KHANDEY,Independent,3456,46,3502,1.95
S12,Madhya Pradesh,28,Bamori,SANTOSH KAUSHAL,Independent,1148,0,1148,0.64
S12,Madhya Pradesh,28,Bamori,NOTA,None of the Above,1380,15,1395,0.78
S12,Madhya Pradesh,29,Guna,Jasbir Singh Chawla,Aam Aadmi Party,5287,20,5307,2.48
S12,Madhya Pradesh,29,Guna,Dharam Lal Kaushik,Bharatiya Janata Party,99939,407,100346,46.93
S12,Madhya Pradesh,29,Guna,Neha Bharti,Janta Congress Chhattisgarh (J),1808,10,1818,0.85
S12,Madhya Pradesh,29,Guna,Siyaram Kaushik,Indian National Congress,90945,444,91389,42.74
S12,Madhya Pradesh,29,Guna,Hemchand Miri,Bahujan Samaj Party,4115,51,4166,1.95
S12,Madhya Pradesh,29,Guna,Aradhna Mitra,Peoples Party of India (Democratic),217,0,217,0.1
S12,Madhya Pradesh,29,Guna,Jageshvar Soni,National Youth Party,155,0,155,0.07
S12,Madhya Pradesh,29,Guna,Dhaniram Yadav,Samajwadi Party,204,1,205,0.1
S12,Madhya Pradesh,29,Guna,Nirmal Kumar Diwakar,Prabuddha Republican Party,172,1,173,0.08
S12,Madhya Pradesh,29,Guna,Parmanand Mahant,Janata Congress,174,1,175,0.08
S12,Madhya Pradesh,29,Guna,Shyam Sundar Kaushik,Bhartiya Shakti Chetna Party,400,0,400,0.19
S12,Madhya Pradesh,29,Guna,Shivnarayan Dhruw,Hamar Raj Party,3071,20,3091,1.45
S12,Madhya Pradesh,29,Guna,Santosh Kumar Sahu,Johar Chhattisgarh Party,1116,7,1123,0.53
S12,Madhya Pradesh,29,Guna,Uday Shankar Bhargava,Independent,544,0,544,0.25
S12,Madhya Pradesh,29,Guna,Kalesar Barmate,Independent,1237,1,1238,0.58
S12,Madhya Pradesh,29,Guna,Devprasad,Independent,1136,0,1136,0.53
S12,Madhya Pradesh,29,Guna,Pavan Raj Masih,Independent,370,1,371,0.17
S12,Madhya Pradesh,29,Guna,Rajpal Tandan,Independent,409,0,409,0.19
S12,Madhya Pradesh,29,Guna,Rajesh Kumar Sharma,Independent,120,3,123,0.06
