st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,215,Ghatiya,JEEVAN SINGH DEWDA,Bahujan Samaj Party,2204,8,2212,1.2
S12,Madhya Pradesh,215,Ghatiya,RAMLAL MALVIYA,Indian National Congress,78142,428,78570,42.68
S12,Madhya Pradesh,215,Ghatiya,SATISH MALVIYA,Bharatiya Janata Party,96004,232,96236,52.27
S12,Madhya Pradesh,215,Ghatiya,RAVI GUJRATI,Aazad Samaj Party (Kanshi Ram),3666,5,3671,1.99
S12,Madhya Pradesh,215,Ghatiya,BALU-SINGH,Independent,329,1,330,0.18
S12,Madhya Pradesh,215,Ghatiya,MADANLAL MIMROT (EX.TEHSILDAR),Independent,714,0,714,0.39
S12,Madhya Pradesh,215,Ghatiya,RAMESH PILOT,Independent,1105,3,1108,0.6
S12,Madhya Pradesh,215,Ghatiya,NOTA,None of the Above,1254,3,1257,0.68
