st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,119,Narsingpur,PRAHLAD SINGH PATEL,Bharatiya Janata Party,109196,1030,110226,56.33
S12,Madhya Pradesh,119,Narsingpur,MAHESH PRASAD CHOUDHARY,Bahujan Samaj Party,1310,21,1331,0.68
S12,Madhya Pradesh,119,Narsingpur,LAKHAN SINGH PATEL,Indian National Congress,77101,1815,78916,40.33
S12,Madhya Pradesh,119,Narsingpur,MASTRAM LODHI,Bhartiya Shakti Chetna Party,923,1,924,0.47
S12,Madhya Pradesh,119,Narsingpur,RAMBAI THAKUR,Gana Suraksha Party,363,4,367,0.19
S12,Madhya Pradesh,119,Narsingpur,SHIVRAJ SINGH GOUTAM,Aazad Samaj Party (Kanshi Ram),437,2,439,0.22
S12,Madhya Pradesh,119,Narsingpur,M. GAJANFAR,Independent,818,1,819,0.42
S12,Madhya Pradesh,119,Narsingpur,SAPAN SHRIDHAR,Independent,361,1,362,0.19
S12,Madhya Pradesh,119,Narsingpur,NOTA,None of the Above,2256,27,2283,1.17
