st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,37,Surkhi,ANITA SATNAM DANGI,Bahujan Samaj Party,1202,5,1207,0.7
S12,Madhya Pradesh,37,Surkhi,GOVIND SINGH RAJPUT,Bharatiya Janata Party,83172,379,83551,48.73
S12,Madhya Pradesh,37,Surkhi,NEERAJ SHARMA,Indian National Congress,80917,456,81373,47.46
S12,Madhya Pradesh,37,Surkhi,TULSIRAM PAL (HINNOD),Bhartiya Shakti Chetna Party,1454,0,1454,0.85
S12,Madhya Pradesh,37,Surkhi,Raghunath Patel,Jan Adhikar Party,223,0,223,0.13
S12,Madhya Pradesh,37,Surkhi,ASHISH SEN,Independent,118,0,118,0.07
S12,Madhya Pradesh,37,Surkhi,JAKIR ALI,Independent,106,0,106,0.06
S12,Madhya Pradesh,37,Surkhi,NEERAJ SHARMA,Independent,141,2,143,0.08
S12,Madhya Pradesh,37,Surkhi,Er. YOGESH SINGH KUSHWAHA,Independent,521,3,524,0.31
S12,Madhya Pradesh,37,Surkhi,VINOD KURMI,Independent,349,0,349,0.2
S12,Madhya Pradesh,37,Surkhi,SHISHUPAL SINGH,Independent,573,1,574,0.33
S12,Madhya Pradesh,37,Surkhi,SAIFUDDIN,Independent,753,2,755,0.44
S12,Madhya Pradesh,37,Surkhi,NOTA,None of the Above,1077,2,1079,0.63
