st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,126,Chhindwara,KAMAL NATH,Indian National Congress,129829,2473,132302,56.44
S12,Madhya Pradesh,126,Chhindwara,THAKUR TRIVIKRAM HIRPACHI,Bahujan Samaj Party,1875,22,1897,0.81
S12,Madhya Pradesh,126,Chhindwara,VIVEK BUNTY SAHU,Bharatiya Janata Party,94820,888,95708,40.83
S12,Madhya Pradesh,126,Chhindwara,RAJESH TANTRIK (KUSHWAHA),Ahinsa Samaj Party,865,2,867,0.37
S12,Madhya Pradesh,126,Chhindwara,AJAY NAGWANSHI,Independent,129,1,130,0.06
S12,Madhya Pradesh,126,Chhindwara,MOHD. PARVEZ QURESHI,Independent,81,0,81,0.03
S12,Madhya Pradesh,126,Chhindwara,PRAMILA VERMA,Independent,156,1,157,0.07
S12,Madhya Pradesh,126,Chhindwara,MUKESH KAKODIYA,Independent,194,4,198,0.08
S12,Madhya Pradesh,126,Chhindwara,MOHAN BHARTEEY,Independent,388,2,390,0.17
S12,Madhya Pradesh,126,Chhindwara,SUBHASH SHUKLA,Independent,615,2,617,0.26
S12,Madhya Pradesh,126,Chhindwara,HARSHA BANODE,Independent,337,2,339,0.14
S12,Madhya Pradesh,126,Chhindwara,NOTA,None of the Above,1737,4,1741,0.74
