st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,19,Dabra,IMARTI DEVI,Bharatiya Janata Party,82092,358,82450,46.79
S12,Madhya Pradesh,19,Dabra,SMT SATYAPRAKASHI PARSEDIYA,Bahujan Samaj Party,4392,45,4437,2.52
S12,Madhya Pradesh,19,Dabra,SURESH RAJE,Indian National Congress,83917,800,84717,48.08
S12,Madhya Pradesh,19,Dabra,PAWAN KUMAR RAI,Rashtriya Rakshak Morcha,941,1,942,0.53
S12,Madhya Pradesh,19,Dabra,Dr. Bharat Warsi,Jan Adhikar Party,143,1,144,0.08
S12,Madhya Pradesh,19,Dabra,ROOPESH KAIN,Aazad Samaj Party (Kanshi Ram),625,8,633,0.36
S12,Madhya Pradesh,19,Dabra,ANiL Agraiya,Independent,147,0,147,0.08
S12,Madhya Pradesh,19,Dabra,NAVAL KISHOR MOURYA,Independent,167,0,167,0.09
S12,Madhya Pradesh,19,Dabra,RAMVARAN SAGAR,Independent,157,0,157,0.09
S12,Madhya Pradesh,19,Dabra,LEELADHAR,Independent,219,0,219,0.12
S12,Madhya Pradesh,19,Dabra,VIKASH SAGAR,Independent,322,0,322,0.18
S12,Madhya Pradesh,19,Dabra,SANJAY AGARIYA,Independent,301,0,301,0.17
S12,Madhya Pradesh,19,Dabra,NOTA,None of the Above,1555,9,1564,0.89
