st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,65,Maihar,DHARMESH GHAI (ROMI),Indian National Congress,54940,536,55476,28.13
S12,Madhya Pradesh,65,Maihar,BIRENDRA PRASAD KUSHWAHA,Bahujan Samaj Party,30618,114,30732,15.59
S12,Madhya Pradesh,65,Maihar,BAIJNATH KUSHWAHA,Aam Aadmi Party,993,4,997,0.51
S12,Madhya Pradesh,65,Maihar,SHRIKANT CHATURVEDI,Bharatiya Janata Party,76525,345,76870,38.98
S12,Madhya Pradesh,65,Maihar,Gore Lal Kole,All India Forward Bloc,925,0,925,0.47
S12,Madhya Pradesh,65,Maihar,CHANDRAPRAKASH PATEL URF CHHOTU BHAIYA,Samajwadi Party,1097,4,1101,0.56
S12,Madhya Pradesh,65,Maihar,NARAYAN TRIPATHI,Vindhya Janta Party,22510,182,22692,11.51
S12,Madhya Pradesh,65,Maihar,RAJNISH KUMAR SHUKLA,Bharatiya Jan Morcha Party,489,0,489,0.25
S12,Madhya Pradesh,65,Maihar,SUSHEEL (PRADEEP) PAL,Kranti Janshakti Party,547,1,548,0.28
S12,Madhya Pradesh,65,Maihar,SANGEETA PURUSHOTTAM KUSHWAHA,Peoples Party of India (Democratic),361,1,362,0.18
S12,Madhya Pradesh,65,Maihar,Umes Kumar Dahiya,Independent,307,1,308,0.16
S12,Madhya Pradesh,65,Maihar,OMPRAKASH (OP Bhaiya),Independent,485,0,485,0.25
S12,Madhya Pradesh,65,Maihar,Gulam Aaka Khan,Independent,966,0,966,0.49
S12,Madhya Pradesh,65,Maihar,NARAYAN TIWARI,Independent,484,1,485,0.25
S12,Madhya Pradesh,65,Maihar,NASIR KHAN,Independent,731,0,731,0.37
S12,Madhya Pradesh,65,Maihar,BHAGAT SINGH LODHI,Independent,2064,1,2065,1.05
S12,Madhya Pradesh,65,Maihar,SAMPAT RAWAT,Independent,1057,0,1057,0.54
S12,Madhya Pradesh,65,Maihar,NOTA,None of the Above,887,3,890,0.45
