st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,194,Thandla,ELIYAS BHai MACHAR,Bahujan Samaj Party,2395,1,2396,1.04
S12,Madhya Pradesh,194,Thandla,KALSINGH BHABAR,Bharatiya Janata Party,103352,505,103857,44.87
S12,Madhya Pradesh,194,Thandla,VEERSINGH BHURIYA,Indian National Congress,104349,848,105197,45.45
S12,Madhya Pradesh,194,Thandla,TOLSINGH BHURIYA,Janata Dal (United),3098,5,3103,1.34
S12,Madhya Pradesh,194,Thandla,MANISH BhAI MUNIYA CHAPANER,Bhartiya Tribal Party,547,1,548,0.24
S12,Madhya Pradesh,194,Thandla,MAJU DAMOR,Bharat Adivasi Party,9171,44,9215,3.98
S12,Madhya Pradesh,194,Thandla,UDAYSINGH MASSAR,Independent,764,3,767,0.33
S12,Madhya Pradesh,194,Thandla,TANSINGH MAIDA,Independent,1643,10,1653,0.71
S12,Madhya Pradesh,194,Thandla,BABU DAMOR,Independent,1623,1,1624,0.7
S12,Madhya Pradesh,194,Thandla,NOTA,None of the Above,3104,4,3108,1.34
