st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,28,Bamori,RISHI AGRAWAL,Indian National Congress,92965,743,93708,51.19
S12,Madhya Pradesh,28,Bamori,Manisha Rajesh Singh Dhakad,Bahujan Samaj Party,3483,13,3496,1.91
S12,Madhya Pradesh,28,Bamori,MAHENDRA SINGH SISODIA (SANJU BHAIYA),Bharatiya Janata Party,78543,369,78912,43.11
S12,Madhya Pradesh,28,Bamori,URmila Bai,Lok Samaj Party,1296,1,1297,0.71
S12,Madhya Pradesh,28,Bamori,Dɤ. PHooL SiNGH KUSHWAH,Pichhara Samaj Party United,306,0,306,0.17
S12,Madhya Pradesh,28,Bamori,RANJANA KUSHWAH,Aazad Samaj Party (Kanshi Ram),819,3,822,0.45
S12,Madhya Pradesh,28,Bamori,SHRiRAM SEN,Socialist Unity Centre Of India (COMMUNIST),245,0,245,0.13
S12,Madhya Pradesh,28,Bamori,AMIT SHRIVASTAVA GUNA WALE,Independent,196,1,197,0.11
S12,Madhya Pradesh,28,Bamori,ASHISH (LAL MAHARAJ),Independent,262,2,264,0.14
S12,Madhya Pradesh,28,Bamori,KRiSHN RAO. KAPSE (KAPSE BABU),Independent,361,1,362,0.2
S12,Madhya Pradesh,28,Bamori,SANTOSH,Independent,702,0,702,0.38
S12,Madhya Pradesh,28,Bamori,SURAJ LAL LODHA HARIPUR,Independent,669,0,669,0.37
S12,Madhya Pradesh,28,Bamori,NOTA,None of the Above,2058,6,2064,1.13
