st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,9,Nirmal,ALLOLA INDRAKARAN REDDY,Bharat Rashtra Samithi,55321,376,55697,28.28
S29,Telangana,9,Nirmal,ALLETI MAHESHWAR REDDY,Bharatiya Janata Party,104685,1715,106400,54.03
S29,Telangana,9,Nirmal,DEVATHA JAGAN MOHAN,Bahujan Samaj Party,945,14,959,0.49
S29,Telangana,9,Nirmal,K. SRIHARI RAO,Indian National Congress,28254,388,28642,14.54
S29,Telangana,9,Nirmal,GORRE LINGANNA,Bahujan Mukti Party,333,2,335,0.17
S29,Telangana,9,Nirmal,PARIKIPANDLA SWADESH,All India Forward Bloc,138,0,138,0.07
S29,Telangana,9,Nirmal,MANTHENA INDRAKARAN REDDY,Alliance of Democratic Reforms Party,408,1,409,0.21
S29,Telangana,9,Nirmal,RAVINDHAR RAMAGIRI,Dharma Samaj Party,171,4,175,0.09
S29,Telangana,9,Nirmal,KHAJA NAYEEM UDDIN MOHAMMAD,Independent,128,0,128,0.06
S29,Telangana,9,Nirmal,DEVOLLA RAJU,Independent,236,3,239,0.12
S29,Telangana,9,Nirmal,BURKA RAJENDER,Independent,280,6,286,0.15
S29,Telangana,9,Nirmal,MALLESH MADDIKUNTA,Independent,835,1,836,0.42
S29,Telangana,9,Nirmal,SUDHARSHAN,Independent,1156,5,1161,0.59
S29,Telangana,9,Nirmal,NOTA,None of the Above,1522,4,1526,0.77
