st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,74,Mahbubnagar,A.P. Mithun Kumar Reddy,Bharatiya Janata Party,19376,543,19919,10.97
S29,Telangana,74,Mahbubnagar,Yennam Srinivas Reddy,Indian National Congress,84728,2499,87227,48.04
S29,Telangana,74,Mahbubnagar,V. Srinivas Goud,Bharat Rashtra Samithi,67736,753,68489,37.72
S29,Telangana,74,Mahbubnagar,P. Swapna,Bahujan Samaj Party,1287,30,1317,0.73
S29,Telangana,74,Mahbubnagar,Iqbal Ahmed Khan,Bahujan Mukti Party,106,0,106,0.06
S29,Telangana,74,Mahbubnagar,T. Krishna,Bharatha Chaitanya Yuvajana Party,74,3,77,0.04
S29,Telangana,74,Mahbubnagar,M.A. Khadar,Pragatisheel Samaj Party,81,0,81,0.04
S29,Telangana,74,Mahbubnagar,Munnur Ravi,All India Forward Bloc,118,3,121,0.07
S29,Telangana,74,Mahbubnagar,K. Ramulu,Dharma Samaj Party,121,1,122,0.07
S29,Telangana,74,Mahbubnagar,C. Srinivas Reddy,Jana Shankhaaraavam Party,88,1,89,0.05
S29,Telangana,74,Mahbubnagar,Ashok Kumar Gajbinkar,Independent,117,0,117,0.06
S29,Telangana,74,Mahbubnagar,Karukonda Srinivasulu,Independent,1168,6,1174,0.65
S29,Telangana,74,Mahbubnagar,Mohammed Shareef,Independent,229,2,231,0.13
S29,Telangana,74,Mahbubnagar,Mettukadi Sreenivasulu,Independent,730,7,737,0.41
S29,Telangana,74,Mahbubnagar,Mohammed Imtiyaz Ahamad,Independent,605,3,608,0.33
S29,Telangana,74,Mahbubnagar,NOTA,None of the Above,1140,17,1157,0.64
