st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,18,Nizamabad (Rural),GOVERDHAN BAJIREDDY,Bharat Rashtra Samithi,56102,313,56415,28.93
S29,Telangana,18,Nizamabad (Rural),DINESH KUMAR KULACHARI,Bharatiya Janata Party,49268,455,49723,25.5
S29,Telangana,18,Nizamabad (Rural),BHOOPATHI REDDY REKULAPALLY,Indian National Congress,77723,655,78378,40.19
S29,Telangana,18,Nizamabad (Rural),MATTAMLA SHEKHAR,Bahujan Samaj Party,2261,32,2293,1.18
S29,Telangana,18,Nizamabad (Rural),KALA SRINIVAS,Republican Party of India,221,3,224,0.11
S29,Telangana,18,Nizamabad (Rural),PRASHANTH RAVUTLA,Dharma Samaj Party,992,15,1007,0.52
S29,Telangana,18,Nizamabad (Rural),PRASANNA KUMAR,Bharatha Chaitanya Yuvajana Party,152,2,154,0.08
S29,Telangana,18,Nizamabad (Rural),METHRI RAJASHEKAR,Marxist Communist Party of India (United),282,0,282,0.14
S29,Telangana,18,Nizamabad (Rural),ARA SUKESH KUMAR,Independent,374,2,376,0.19
S29,Telangana,18,Nizamabad (Rural),CHIMARLA RAJESHWAR,Independent,382,4,386,0.2
S29,Telangana,18,Nizamabad (Rural),DEGAVATH SHIVARAM,Independent,325,2,327,0.17
S29,Telangana,18,Nizamabad (Rural),B.B.NAIK,Independent,353,6,359,0.18
S29,Telangana,18,Nizamabad (Rural),BALARAJU GUGULOTH,Independent,1728,2,1730,0.89
S29,Telangana,18,Nizamabad (Rural),BODDU GANGA REDDY,Independent,1093,3,1096,0.56
S29,Telangana,18,Nizamabad (Rural),NOTA,None of the Above,2254,14,2268,1.16
