st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,64,Nagod,AMAR SINGH,Bharatiya Janata Party,41099,303,41402,23.55
S12,Madhya Pradesh,64,Nagod,ALLEPU ANJAIAH,Bahujan Samaj Party,582,7,589,0.33
S12,Madhya Pradesh,64,Nagod,OSMAN BIN MOHAMMED AL HAJRI,Indian National Congress,18053,107,18160,10.33
S12,Madhya Pradesh,64,Nagod,AINDALA KRISHNA,Bharat Rashtra Samithi,29097,97,29194,16.6
S12,Madhya Pradesh,64,Nagod,KAUSAR MOHIUDDIN,All India Majlis-E-Ittehadul Muslimeen,83166,222,83388,47.42
S12,Madhya Pradesh,64,Nagod,ADDALA KARTHIK,Yuga Thulasi Party,626,4,630,0.36
S12,Madhya Pradesh,64,Nagod,AVULA SRIKANTH,All India Forward Bloc,92,1,93,0.05
S12,Madhya Pradesh,64,Nagod,K. M. GURUCHARAN,Bahujana Rashtra Samithi,89,1,90,0.05
S12,Madhya Pradesh,64,Nagod,GOGIKAR ANIL,Vidhyarthula Rajakiya Party,124,1,125,0.07
S12,Madhya Pradesh,64,Nagod,NARSINGH RAO VULKUNDAKAR,Praja Ektha Party,71,1,72,0.04
S12,Madhya Pradesh,64,Nagod,MOHAMMED LAIQ,Majlis Bachao Tahreek,170,0,170,0.1
S12,Madhya Pradesh,64,Nagod,MODI RAMESH,Dharma Samaj Party,62,0,62,0.04
S12,Madhya Pradesh,64,Nagod,SYEDA ZAINAB NAQVI,Jai Maha Bharath Party,71,0,71,0.04
S12,Madhya Pradesh,64,Nagod,ANDE USHA KANNA,Independent,90,1,91,0.05
S12,Madhya Pradesh,64,Nagod,KONDAPALLY RAMU,Independent,65,0,65,0.04
S12,Madhya Pradesh,64,Nagod,K. PRABHAKAR,Independent,290,0,290,0.16
S12,Madhya Pradesh,64,Nagod,BOMMAGANTI HARI BABU,Independent,220,0,220,0.13
S12,Madhya Pradesh,64,Nagod,MATANGI RAMESH KUMAR,Independent,228,0,228,0.13
S12,Madhya Pradesh,64,Nagod,NOTA,None of the Above,886,10,896,0.51
