st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,70,Secunderabad,ADAM SANTHOSH KUMAR,Indian National Congress,32598,385,32983,23.37
S29,Telangana,70,Secunderabad,PADMA RAO. T,Bharat Rashtra Samithi,77910,313,78223,55.42
S29,Telangana,70,Secunderabad,PRAKASH VELPULA,Bahujan Samaj Party,649,3,652,0.46
S29,Telangana,70,Secunderabad,MEKALA SARANGAPANI,Bharatiya Janata Party,25012,190,25202,17.86
S29,Telangana,70,Secunderabad,P N Arun Kumar,Indian Believers Party (IBP),211,3,214,0.15
S29,Telangana,70,Secunderabad,AMALAKONDA VENUGOPAL GOUD,Navarang Congress Party,155,0,155,0.11
S29,Telangana,70,Secunderabad,KANUGANTI RAJU,All India Forward Bloc,48,0,48,0.03
S29,Telangana,70,Secunderabad,KRISHNA GOLAKONDA,Dharma Samaj Party,99,1,100,0.07
S29,Telangana,70,Secunderabad,GUNJA VIJAYA KUMARI,Loktantrik Janta Dal,41,0,41,0.03
S29,Telangana,70,Secunderabad,CHARAN RAJ VALPARAJ,Telangana Prajaa Jeevana Rythu Party,56,3,59,0.04
S29,Telangana,70,Secunderabad,P. NAVEEN BABU,Vidhyarthula Rajakiya Party,89,3,92,0.07
S29,Telangana,70,Secunderabad,M.A. ARUN KUMAR,India Praja Bandhu Party,67,1,68,0.05
S29,Telangana,70,Secunderabad,BANAL MANJULA,Alliance of Democratic Reforms Party,470,0,470,0.33
S29,Telangana,70,Secunderabad,SRAVANTHI S,Marxist Communist Party of India (United),249,0,249,0.18
S29,Telangana,70,Secunderabad,MOHAN. K,Independent,104,0,104,0.07
S29,Telangana,70,Secunderabad,KANTE SRINIVAS RAO (KSR),Independent,158,1,159,0.11
S29,Telangana,70,Secunderabad,BURUGULA JOHN DINAKAR,Independent,224,0,224,0.16
S29,Telangana,70,Secunderabad,BHAVANI.P,Independent,224,0,224,0.16
S29,Telangana,70,Secunderabad,MOHAMMED ABDUL KHADER,Independent,105,1,106,0.08
S29,Telangana,70,Secunderabad,MOHAMMED AFZAL,Independent,56,0,56,0.04
S29,Telangana,70,Secunderabad,MUDUGULA SUNITHA,Independent,58,0,58,0.04
S29,Telangana,70,Secunderabad,RAHUL KODARAPU,Independent,45,0,45,0.03
S29,Telangana,70,Secunderabad,PASULA VENU YOHAN,Independent,58,0,58,0.04
S29,Telangana,70,Secunderabad,V.G. SHARMA,Independent,40,0,40,0.03
S29,Telangana,70,Secunderabad,NOTA,None of the Above,1503,15,1518,1.08
