st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,103,Narsampet,KAMBHAMPATI PRATHAP (PULLA RAO),Bharatiya Janata Party,3017,45,3062,1.49
S29,Telangana,103,Narsampet,Dr. GUNDALA MADAN KUMAR,Bahujan Samaj Party,1517,14,1531,0.75
S29,Telangana,103,Narsampet,DONTHI MADHAVA REDDY,Indian National Congress,103181,1004,104185,50.73
S29,Telangana,103,Narsampet,PEDDI SUDARSHAN REDDY,Bharat Rashtra Samithi,85001,295,85296,41.53
S29,Telangana,103,Narsampet,ARELLI LATHA,Jana Shankhaaraavam Party,518,1,519,0.25
S29,Telangana,103,Narsampet,GONE YUWA RAJ,Alliance of Democratic Reforms Party,2450,1,2451,1.19
S29,Telangana,103,Narsampet,BANOTHU SRINIVAS,Dharma Samaj Party,206,1,207,0.1
S29,Telangana,103,Narsampet,RAMESH GUNDEBOINA,Yuga Thulasi Party,717,0,717,0.35
S29,Telangana,103,Narsampet,RAMESH PEDDARAPU,Marxist Communist Party of India (United),1089,2,1091,0.53
S29,Telangana,103,Narsampet,VEERASWAMY UNDRATHI,Bharatha Chaitanya Yuvajana Party,196,1,197,0.1
S29,Telangana,103,Narsampet,EMMADI CHINNI KRISHNA YADAV,Independent,1347,0,1347,0.66
S29,Telangana,103,Narsampet,Dr.PENCHALA SRINIVAS,Independent,616,1,617,0.3
S29,Telangana,103,Narsampet,PRATAP REDDY MOGILI,Independent,1399,1,1400,0.68
S29,Telangana,103,Narsampet,PREM LAL BANOTH [BPN],Independent,1114,1,1115,0.54
S29,Telangana,103,Narsampet,BUSHABOINA SURESH YADAV,Independent,352,0,352,0.17
S29,Telangana,103,Narsampet,MOGILICHERLA SANDEEP,Independent,561,0,561,0.27
S29,Telangana,103,Narsampet,NOTA,None of the Above,730,8,738,0.36
