st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,1,Sheopur,KONERU KONAPPA,Bharat Rashtra Samithi,60379,235,60614,32.43
S12,Madhya Pradesh,1,Sheopur,R.S. PRAVEEN KUMAR,Bahujan Samaj Party,44151,495,44646,23.89
S12,Madhya Pradesh,1,Sheopur,RRAAVI SRINWASS,Indian National Congress,8406,21,8427,4.51
S12,Madhya Pradesh,1,Sheopur,DR.PALVAI HARISH BABU,Bharatiya Janata Party,63302,400,63702,34.09
S12,Madhya Pradesh,1,Sheopur,KAMRA NAGESH,India Praja Bandhu Party,626,1,627,0.34
S12,Madhya Pradesh,1,Sheopur,GAMTIDAS KHOBRAGADE,New India Party,246,0,246,0.13
S12,Madhya Pradesh,1,Sheopur,JADI. DEEPAK,Republican Party of India,233,1,234,0.13
S12,Madhya Pradesh,1,Sheopur,DONGRI PRAVEEN KUMAR,All India Forward Bloc,358,2,360,0.19
S12,Madhya Pradesh,1,Sheopur,PARCHAKI KESHAV RAO,Gondvana Gantantra Party,305,0,305,0.16
S12,Madhya Pradesh,1,Sheopur,RAMTENKI AJAY KUMAR,Prabuddha Republican Party,1084,1,1085,0.58
S12,Madhya Pradesh,1,Sheopur,YELUMULE MANOHAR,Independent,1812,1,1813,0.97
S12,Madhya Pradesh,1,Sheopur,DASARI VENKATESH,Independent,1300,1,1301,0.7
S12,Madhya Pradesh,1,Sheopur,DR.DESHAGANI SAMBASHIVA GOUD,Independent,1324,0,1324,0.71
S12,Madhya Pradesh,1,Sheopur,NOTA,None of the Above,2193,3,2196,1.18
S12,Madhya Pradesh,2,Vijaypur,Dasarapu Srinivas,Bahujan Samaj Party,1384,14,1398,0.92
S12,Madhya Pradesh,2,Vijaypur,Durgam Ashok,Bharatiya Janata Party,3291,84,3375,2.22
S12,Madhya Pradesh,2,Vijaypur,Balka Suman,Bharat Rashtra Samithi,49809,217,50026,32.86
S12,Madhya Pradesh,2,Vijaypur,Gaddam Vivekanand,Indian National Congress,86427,1114,87541,57.51
S12,Madhya Pradesh,2,Vijaypur,Nandipati Raju,Dharma Samaj Party,946,2,948,0.62
S12,Madhya Pradesh,2,Vijaypur,Salluri Mahesh,Prajarajya Samithi,303,1,304,0.2
S12,Madhya Pradesh,2,Vijaypur,Mulkalla Rajendra Prasad,All India Mahila Empowerment Party,246,0,246,0.16
S12,Madhya Pradesh,2,Vijaypur,Venugopal Moyyi,Bahujan Mukti Party,336,1,337,0.22
S12,Madhya Pradesh,2,Vijaypur,Mothe Rajalingu,Socialist Party (India),833,4,837,0.55
S12,Madhya Pradesh,2,Vijaypur,Vadlakonda Rajam,Telangana Rajya Samithi,405,0,405,0.27
S12,Madhya Pradesh,2,Vijaypur,Sogala Sanjeev,All India Forward Bloc,579,0,579,0.38
S12,Madhya Pradesh,2,Vijaypur,Asampally Sampath Kumar,Independent,1444,0,1444,0.95
S12,Madhya Pradesh,2,Vijaypur,Thungapindi Ramesh,Independent,2165,1,2166,1.42
S12,Madhya Pradesh,2,Vijaypur,Dugam Sammaiah,Independent,831,1,832,0.55
S12,Madhya Pradesh,2,Vijaypur,NOTA,None of the Above,1787,5,1792,1.18
S12,Madhya Pradesh,3,Sabalagadh,AMURAJULA SRIDEVI,Bharatiya Janata Party,3751,61,3812,2.69
S12,Madhya Pradesh,3,Sabalagadh,GADDAM VINOD,Indian National Congress,81442,775,82217,57.96
S12,Madhya Pradesh,3,Sabalagadh,DURGAM CHINNAIAH,Bharat Rashtra Samithi,45163,176,45339,31.96
S12,Madhya Pradesh,3,Sabalagadh,NARSAIAH JADI,Bahujan Samaj Party,1169,14,1183,0.83
S12,Madhya Pradesh,3,Sabalagadh,GOGARLA SHANKAR,Communist Party of India (Marxist-Leninist) Red Star,186,0,186,0.13
S12,Madhya Pradesh,3,Sabalagadh,JANGAPELLY RAMASWAMY,Dharma Samaj Party,258,0,258,0.18
S12,Madhya Pradesh,3,Sabalagadh,PADMA YEDLA,Bahujan Mukti Party,197,1,198,0.14
S12,Madhya Pradesh,3,Sabalagadh,PERUGU RAVINDER,Socialist Party (India),339,1,340,0.24
S12,Madhya Pradesh,3,Sabalagadh,RAMAGIRI SRIPATHI,Bharatha Chaitanya Yuvajana Party,387,0,387,0.27
S12,Madhya Pradesh,3,Sabalagadh,SRINIVAS RAMTENKI,Republican Party of India,1286,3,1289,0.91
S12,Madhya Pradesh,3,Sabalagadh,AMBALA MAHENDAR,Independent,606,0,606,0.43
S12,Madhya Pradesh,3,Sabalagadh,DAGAM SRINIVAS,Independent,2357,0,2357,1.66
S12,Madhya Pradesh,3,Sabalagadh,DURGE ESHWAR,Independent,1512,0,1512,1.07
S12,Madhya Pradesh,3,Sabalagadh,NOTA,None of the Above,2168,11,2179,1.54
S12,Madhya Pradesh,4,Jaura,KOKKIRALA PREMSAGAR RAO,Indian National Congress,104260,1685,105945,55.03
S12,Madhya Pradesh,4,Jaura,THOTA SRINIVAS,Bahujan Samaj Party,1259,21,1280,0.66
S12,Madhya Pradesh,4,Jaura,DIWAKAR RAO NADIPELLI,Bharat Rashtra Samithi,37734,255,37989,19.73
S12,Madhya Pradesh,4,Jaura,RAGHUNATH VERABELLI,Bharatiya Janata Party,39370,459,39829,20.69
S12,Madhya Pradesh,4,Jaura,ADUNURI RAMESH,Dharma Samaj Party,244,2,246,0.13
S12,Madhya Pradesh,4,Jaura,GORLAPALLY SURESH,Vidhyarthula Rajakiya Party,161,3,164,0.09
S12,Madhya Pradesh,4,Jaura,CHERUKURI SHANTHI SREE,Bahujan Republican Socialist Party,136,0,136,0.07
S12,Madhya Pradesh,4,Jaura,DOMMATI RAVI KUMAR,All India Forward Bloc,128,0,128,0.07
S12,Madhya Pradesh,4,Jaura,ANDE MANGA,Independent,169,0,169,0.09
S12,Madhya Pradesh,4,Jaura,MD. IFTHAKAR AHMED,Independent,294,1,295,0.15
S12,Madhya Pradesh,4,Jaura,M. KRISHNA,Independent,218,0,218,0.11
S12,Madhya Pradesh,4,Jaura,TALLURI VENKATESWARLU,Independent,332,2,334,0.17
S12,Madhya Pradesh,4,Jaura,NAHEEM PASHA MD,Independent,630,6,636,0.33
S12,Madhya Pradesh,4,Jaura,PRANAY GANGAREDDY,Independent,1054,0,1054,0.55
S12,Madhya Pradesh,4,Jaura,RANGU MALLESHAM,Independent,514,1,515,0.27
S12,Madhya Pradesh,4,Jaura,SOULLA SANDEEP,Independent,1889,1,1890,0.98
S12,Madhya Pradesh,4,Jaura,HANUMANDLA SHANKAR,Independent,739,1,740,0.38
S12,Madhya Pradesh,4,Jaura,NOTA,None of the Above,926,16,942,0.49
S12,Madhya Pradesh,5,Sumaoli,AJMEERA ATHMARAO,Bharatiya Janata Party,6562,47,6609,3.58
S12,Madhya Pradesh,5,Sumaoli,AJMERA SHYAM,Indian National Congress,59629,609,60238,32.62
S12,Madhya Pradesh,5,Sumaoli,KANAKA PRABHAKAR,Bahujan Samaj Party,3528,16,3544,1.92
S12,Madhya Pradesh,5,Sumaoli,KOVA LAXMI,Bharat Rashtra Samithi,82705,331,83036,44.97
S12,Madhya Pradesh,5,Sumaoli,AJMERA RAM NAYAK,Praja Shanthi Party,2562,5,2567,1.39
S12,Madhya Pradesh,5,Sumaoli,ATHRAM GOVARDHAN,Gondvana Gantantra Party,750,9,759,0.41
S12,Madhya Pradesh,5,Sumaoli,GOVIND BUKYA,Janata Congress,463,0,463,0.25
S12,Madhya Pradesh,5,Sumaoli,NUNAVAT TIRUPATI,Vidhyarthula Rajakiya Party,408,0,408,0.22
S12,Madhya Pradesh,5,Sumaoli,BHUKYA PALLAVI,Bahujan Mukti Party,663,1,664,0.36
S12,Madhya Pradesh,5,Sumaoli,KOTNAKA KISHANRAO,Independent,1533,1,1534,0.83
S12,Madhya Pradesh,5,Sumaoli,KOTNAKA VIJAY KUMAR,Independent,16382,87,16469,8.92
S12,Madhya Pradesh,5,Sumaoli,PUSAM SONERAO,Independent,847,0,847,0.46
S12,Madhya Pradesh,5,Sumaoli,MESRAM NAVEEN KUMAR,Independent,1479,2,1481,0.8
S12,Madhya Pradesh,5,Sumaoli,REBBANA NAGARAJU,Independent,838,0,838,0.45
S12,Madhya Pradesh,5,Sumaoli,VASANTH SINGH JADHAV,Independent,987,2,989,0.54
S12,Madhya Pradesh,5,Sumaoli,SIDAM ANNIGA,Independent,2089,4,2093,1.13
S12,Madhya Pradesh,5,Sumaoli,SHIDAM DHARMU,Independent,587,0,587,0.32
S12,Madhya Pradesh,5,Sumaoli,NOTA,None of the Above,1507,8,1515,0.82
S12,Madhya Pradesh,6,Morena,JOHNSON NAIK BHUKYA,Bharat Rashtra Samithi,53921,247,54168,31.09
S12,Madhya Pradesh,6,Morena,BANSILAL RATHOD,Bahujan Samaj Party,1688,18,1706,0.98
S12,Madhya Pradesh,6,Morena,RAMESH RATHOD,Bharatiya Janata Party,51518,880,52398,30.07
S12,Madhya Pradesh,6,Morena,VEDMA BHOJJU,Indian National Congress,58210,660,58870,33.79
S12,Madhya Pradesh,6,Morena,ASHA REDDY BONTHA,Gondvana Gantantra Party,1068,0,1068,0.61
S12,Madhya Pradesh,6,Morena,KUTHATI VIJAYA,Pyramid Party of India,172,0,172,0.1
S12,Madhya Pradesh,6,Morena,JADHAV PRABHAS,Dharma Samaj Party,265,2,267,0.15
S12,Madhya Pradesh,6,Morena,PENDOOR PRIYANKA,Communist Party of India (Marxist-Leninist) Red Star,363,1,364,0.21
S12,Madhya Pradesh,6,Morena,ATHRAM RAVINDAR,Independent,1245,0,1245,0.71
S12,Madhya Pradesh,6,Morena,NETHAVATH RAJENDER,Independent,1293,1,1294,0.74
S12,Madhya Pradesh,6,Morena,MOHAN,Independent,573,0,573,0.33
S12,Madhya Pradesh,6,Morena,NOTA,None of the Above,2096,18,2114,1.21
S12,Madhya Pradesh,7,Dimani,KANDI SRINIVASA REDDY,Indian National Congress,46763,961,47724,25.3
S12,Madhya Pradesh,7,Dimani,JOGU RAMANNA,Bharat Rashtra Samithi,60321,595,60916,32.29
S12,Madhya Pradesh,7,Dimani,PAYAL SHANKER,Bharatiya Janata Party,66468,1140,67608,35.84
S12,Madhya Pradesh,7,Dimani,AGGIMALLA GANESH,Dharma Samaj Party,791,10,801,0.42
S12,Madhya Pradesh,7,Dimani,ELCHARWAR SATHYANARAYANA,Baliraja Party,117,0,117,0.06
S12,Madhya Pradesh,7,Dimani,KEMA SRINIVAS,Praja Ektha Party,234,6,240,0.13
S12,Madhya Pradesh,7,Dimani,KAMLE BHAGAVAN,Republican Party of India,225,6,231,0.12
S12,Madhya Pradesh,7,Dimani,GUDEPELLY GNANESH,Bharatha Chaitanya Yuvajana Party,162,4,166,0.09
S12,Madhya Pradesh,7,Dimani,THUMRAM CHANDRA SHAV,Gondvana Gantantra Party,163,0,163,0.09
S12,Madhya Pradesh,7,Dimani,BHUPENDER,Alliance of Democratic Reforms Party,761,8,769,0.41
S12,Madhya Pradesh,7,Dimani,VOTER CAR SURESH,Yuga Thulasi Party,290,4,294,0.16
S12,Madhya Pradesh,7,Dimani,SURYAVAMSHI VIDHYASAGAR,Bahujan Mukti Party,229,2,231,0.12
S12,Madhya Pradesh,7,Dimani,ANNAM PREM DEVENDER,Independent,549,1,550,0.29
S12,Madhya Pradesh,7,Dimani,ALLURI SANJEEVA REDDY,Independent,1936,10,1946,1.03
S12,Madhya Pradesh,7,Dimani,ASLAM,Independent,1390,1,1391,0.74
S12,Madhya Pradesh,7,Dimani,KALAMADUGU VIJAY KUMAR,Independent,1171,2,1173,0.62
S12,Madhya Pradesh,7,Dimani,GEDAM JANARDHAN,Independent,943,2,945,0.5
S12,Madhya Pradesh,7,Dimani,TAKSANDE DHARMAPAL,Independent,1057,1,1058,0.56
S12,Madhya Pradesh,7,Dimani,TAKBIDE PANDIT RAO,Independent,878,0,878,0.47
S12,Madhya Pradesh,7,Dimani,NAGANNA GALIPELLI,Independent,174,1,175,0.09
S12,Madhya Pradesh,7,Dimani,BANU RAJESHWAR RAO,Independent,122,1,123,0.07
S12,Madhya Pradesh,7,Dimani,BEDODKAR GANESH,Independent,154,3,157,0.08
S12,Madhya Pradesh,7,Dimani,MUNDE PRAVEEN KUMAR,Independent,91,0,91,0.05
S12,Madhya Pradesh,7,Dimani,VAGMARE ABISHEK,Independent,163,0,163,0.09
S12,Madhya Pradesh,7,Dimani,SUBASH NAVATE,Independent,149,1,150,0.08
S12,Madhya Pradesh,7,Dimani,NOTA,None of the Above,582,10,592,0.31
S12,Madhya Pradesh,8,Ambah,ANIL JADHAV,Bharat Rashtra Samithi,76297,495,76792,44.13
S12,Madhya Pradesh,8,Ambah,AADE GAJENDER,Indian National Congress,32426,371,32797,18.85
S12,Madhya Pradesh,8,Ambah,MESRAM JANGUBAPU,Bahujan Samaj Party,2044,27,2071,1.19
S12,Madhya Pradesh,8,Ambah,SOYAM BAPURAO,Bharatiya Janata Party,53274,718,53992,31.03
S12,Madhya Pradesh,8,Ambah,ADE SUNIL KUMAR,Bharatha Chaitanya Yuvajana Party,677,5,682,0.39
S12,Madhya Pradesh,8,Ambah,UHIKEA HEERAJI,Rashtriya Jankranti Party,1388,3,1391,0.8
S12,Madhya Pradesh,8,Ambah,UIKKE UMESH,Dharma Samaj Party,1011,6,1017,0.58
S12,Madhya Pradesh,8,Ambah,BADU NAITHAM,Gondvana Gantantra Party,596,2,598,0.34
S12,Madhya Pradesh,8,Ambah,JADHAV BHOJYA NAIK,Independent,878,0,878,0.5
S12,Madhya Pradesh,8,Ambah,TODASAM DHANALAXMI,Independent,1231,4,1235,0.71
S12,Madhya Pradesh,8,Ambah,NOTA,None of the Above,2556,9,2565,1.47
S12,Madhya Pradesh,9,Ater,ALLOLA INDRAKARAN REDDY,Bharat Rashtra Samithi,55321,376,55697,28.28
S12,Madhya Pradesh,9,Ater,ALLETI MAHESHWAR REDDY,Bharatiya Janata Party,104685,1715,106400,54.03
S12,Madhya Pradesh,9,Ater,DEVATHA JAGAN MOHAN,Bahujan Samaj Party,945,14,959,0.49
S12,Madhya Pradesh,9,Ater,K. SRIHARI RAO,Indian National Congress,28254,388,28642,14.54
S12,Madhya Pradesh,9,Ater,GORRE LINGANNA,Bahujan Mukti Party,333,2,335,0.17
S12,Madhya Pradesh,9,Ater,PARIKIPANDLA SWADESH,All India Forward Bloc,138,0,138,0.07
S12,Madhya Pradesh,9,Ater,MANTHENA INDRAKARAN REDDY,Alliance of Democratic Reforms Party,408,1,409,0.21
S12,Madhya Pradesh,9,Ater,RAVINDHAR RAMAGIRI,Dharma Samaj Party,171,4,175,0.09
S12,Madhya Pradesh,9,Ater,KHAJA NAYEEM UDDIN MOHAMMAD,Independent,128,0,128,0.06
S12,Madhya Pradesh,9,Ater,DEVOLLA RAJU,Independent,236,3,239,0.12
S12,Madhya Pradesh,9,Ater,BURKA RAJENDER,Independent,280,6,286,0.15
S12,Madhya Pradesh,9,Ater,MALLESH MADDIKUNTA,Independent,835,1,836,0.42
S12,Madhya Pradesh,9,Ater,SUDHARSHAN,Independent,1156,5,1161,0.59
S12,Madhya Pradesh,9,Ater,NOTA,None of the Above,1522,4,1526,0.77
S12,Madhya Pradesh,10,Bhind,GADDIGARI VITTAL REDDY,Bharat Rashtra Samithi,73918,335,74253,36.72
S12,Madhya Pradesh,10,Bhind,BHOSLE NARAYAN RAO PATIL,Indian National Congress,15489,99,15588,7.71
S12,Madhya Pradesh,10,Bhind,RAM RAO PAWAR,Bharatiya Janata Party,97501,751,98252,48.59
S12,Madhya Pradesh,10,Bhind,VINOD KUMAR SHARADARAO,Bahujan Samaj Party,3257,35,3292,1.63
S12,Madhya Pradesh,10,Bhind,KASARAM RAJU,Dharma Samaj Party,291,0,291,0.14
S12,Madhya Pradesh,10,Bhind,GOREKAR VIJAY,India Praja Bandhu Party,158,1,159,0.08
S12,Madhya Pradesh,10,Bhind,DEVIDAS HASDE,Republican Party of India,294,2,296,0.15
S12,Madhya Pradesh,10,Bhind,BADDAM BHOJA REDDY,All India Forward Bloc,217,1,218,0.11
S12,Madhya Pradesh,10,Bhind,ELUGUDAR PRAVEEN,Independent,252,0,252,0.12
S12,Madhya Pradesh,10,Bhind,JADHAV DATTURAM,Independent,470,1,471,0.23
S12,Madhya Pradesh,10,Bhind,JADHAV DEVIDAS,Independent,283,0,283,0.14
