st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,72,Kodangal,ANUMULA REVANTH REDDY,Indian National Congress,106558,871,107429,55.05
S29,Telangana,72,Kodangal,KURVA NARMADA KISTAPPA,Bahujan Samaj Party,2114,19,2133,1.09
S29,Telangana,72,Kodangal,PATNAM NARENDER REDDY,Bharat Rashtra Samithi,74709,188,74897,38.38
S29,Telangana,72,Kodangal,BANTU RAMESH,Bharatiya Janata Party,3928,60,3988,2.04
S29,Telangana,72,Kodangal,KRISHNA NAIK,Dharma Samaj Party,213,2,215,0.11
S29,Telangana,72,Kodangal,KOTIKE RAMU MUDHIRAJ,Telangana Rajya Samithi,149,3,152,0.08
S29,Telangana,72,Kodangal,RATHOD SURYA NAIK,Bahujan Mukti Party,161,0,161,0.08
S29,Telangana,72,Kodangal,KURA VENKATAIAH,Independent,127,0,127,0.07
S29,Telangana,72,Kodangal,GOTTIMUKKALA ANJILAIAH,Independent,273,0,273,0.14
S29,Telangana,72,Kodangal,PRABHAKAR MUDIRAJ,Independent,770,0,770,0.39
S29,Telangana,72,Kodangal,PYATA NARENDER REDDY,Independent,380,0,380,0.19
S29,Telangana,72,Kodangal,M.MADHUSUDHAN REDDY,Independent,2173,0,2173,1.11
S29,Telangana,72,Kodangal,VENKAT RAMULU KANDEDI,Independent,463,0,463,0.24
S29,Telangana,72,Kodangal,NOTA,None of the Above,1999,3,2002,1.03
