st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,30,Chachoda,AREPALLY MOHAN,Bharatiya Janata Party,14674,205,14879,8.01
S12,Madhya Pradesh,30,Chachoda,ERUPULA BALAKISHAN RASAMAYI,Bharat Rashtra Samithi,64161,247,64408,34.66
S12,Madhya Pradesh,30,Chachoda,DR. KAVVAMPALLY SATYANARAYANA,Indian National Congress,95904,869,96773,52.08
S12,Madhya Pradesh,30,Chachoda,NISANI RAMACHANDRAM,Bahujan Samaj Party,3292,53,3345,1.8
S12,Madhya Pradesh,30,Chachoda,"JAKKANAPALLY GANESH, ADVOCATE",All India Forward Bloc,314,10,324,0.17
S12,Madhya Pradesh,30,Chachoda,THODETI PAVITHRA,Socialist Party (India),334,8,342,0.18
S12,Madhya Pradesh,30,Chachoda,DUBBASI MAHENDAR,India Praja Bandhu Party,340,3,343,0.18
S12,Madhya Pradesh,30,Chachoda,NISHANI KRISHNA,Bharatha Chaitanya Yuvajana Party,355,2,357,0.19
S12,Madhya Pradesh,30,Chachoda,BOGE PADMA,All India Mahila Empowerment Party,838,6,844,0.45
S12,Madhya Pradesh,30,Chachoda,SHANIGARAPU YUVARAJU,Independent,2213,3,2216,1.19
S12,Madhya Pradesh,30,Chachoda,NOTA,None of the Above,1988,10,1998,1.08
