st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S29,Telangana,108,Bhupalpalle,C. KEERTHI REDDY,Bharatiya Janata Party,14610,121,14731,6.53
S29,Telangana,108,Bhupalpalle,GAJJI JITHENDER,Bahujan Samaj Party,2000,10,2010,0.89
S29,Telangana,108,Bhupalpalle,GANDRA VENKATA RAMANA REDDY,Bharat Rashtra Samithi,70176,241,70417,31.2
S29,Telangana,108,Bhupalpalle,GANDRA SATYANARAYANA RAO,Indian National Congress,122266,850,123116,54.55
S29,Telangana,108,Bhupalpalle,ADLAKONDA SRAVANTHI,Aabaad Party,1129,1,1130,0.5
S29,Telangana,108,Bhupalpalle,ASRAF MAHMAD,Marxist Communist Party of India (United),915,1,916,0.41
S29,Telangana,108,Bhupalpalle,KOTHURI RAVINDER,Dharma Samaj Party,649,12,661,0.29
S29,Telangana,108,Bhupalpalle,CHEPURI ODELU YADAV,Bharath Samaj Devlop Party,177,2,179,0.08
S29,Telangana,108,Bhupalpalle,DEVARAJU PENDELA,Rashtriya Praja Congress (Secular),157,0,157,0.07
S29,Telangana,108,Bhupalpalle,MALLAIAH MARAPELLI,Communist Party of India (Marxist-Leninist) (Liberation),145,0,145,0.06
S29,Telangana,108,Bhupalpalle,RATHNA POSHAMMA,Social Justice Party of India,389,0,389,0.17
S29,Telangana,108,Bhupalpalle,S. RAMESH GUPTA,Bhartiya Swadeshi Congress,238,2,240,0.11
S29,Telangana,108,Bhupalpalle,RAMESH GOUD TALLAPALLY,Alliance of Democratic Reforms Party,3463,1,3464,1.53
S29,Telangana,108,Bhupalpalle,VANGARA SAMBAIAH,Telangana Communist Party of India,1011,1,1012,0.45
S29,Telangana,108,Bhupalpalle,SADA AKHIL REDDY,Jana Shankhaaraavam Party,314,0,314,0.14
S29,Telangana,108,Bhupalpalle,ALLAM MAHESH,Independent,832,1,833,0.37
S29,Telangana,108,Bhupalpalle,KOUTAM RAVINDAR,Independent,325,3,328,0.15
S29,Telangana,108,Bhupalpalle,PONNAM BUCHAIAH,Independent,275,0,275,0.12
S29,Telangana,108,Bhupalpalle,G. RAJINI,Independent,491,0,491,0.22
S29,Telangana,108,Bhupalpalle,LAXMAN VAVILALA,Independent,462,1,463,0.21
S29,Telangana,108,Bhupalpalle,SAMPATH MANTHENA,Independent,2899,2,2901,1.29
S29,Telangana,108,Bhupalpalle,SAHITH GODUGU,Independent,280,0,280,0.12
S29,Telangana,108,Bhupalpalle,SIRIPALLI RAJAIAH,Independent,402,4,406,0.18
S29,Telangana,108,Bhupalpalle,NOTA,None of the Above,826,4,830,0.37
