st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,104,Dindori,RAKESH,Indian National Congress,46995,555,47550,23.77
S12,Madhya Pradesh,104,Dindori,VAJID,Bahujan Samaj Party,29342,166,29508,14.75
S12,Madhya Pradesh,104,Dindori,VIRENDRA SINGH,Bharatiya Janata Party,73601,665,74266,37.13
S12,Madhya Pradesh,104,Dindori,SACHIN JAIN,Rashtriya Loktantrik Party,18453,101,18554,9.28
S12,Madhya Pradesh,104,Dindori,NITIN,Right to Recall Party,1255,0,1255,0.63
S12,Madhya Pradesh,104,Dindori,JASVEER SINGH,Independent,21315,60,21375,10.69
S12,Madhya Pradesh,104,Dindori,TEJULAL,Independent,803,0,803,0.4
S12,Madhya Pradesh,104,Dindori,RAMDEV,Independent,1394,12,1406,0.7
S12,Madhya Pradesh,104,Dindori,SUNIL KUMAR JAIN,Independent,3647,32,3679,1.84
S12,Madhya Pradesh,104,Dindori,NOTA,None of the Above,1637,3,1640,0.82
