st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,199,Manawar,DEEPESH KUMAR,Aam Aadmi Party,2630,4,2634,1.3
S12,Madhya Pradesh,199,Manawar,NARENDRA NAGAR,Bharatiya Janata Party,91719,901,92620,45.61
S12,Madhya Pradesh,199,Manawar,SANJU,Bahujan Samaj Party,1773,5,1778,0.88
S12,Madhya Pradesh,199,Manawar,SURESH GURJAR,Indian National Congress,99975,1070,101045,49.76
S12,Madhya Pradesh,199,Manawar,AJAY KUMAR,Independent,1664,1,1665,0.82
S12,Madhya Pradesh,199,Manawar,KANHAIYALAL,Independent,1215,1,1216,0.6
S12,Madhya Pradesh,199,Manawar,NOTA,None of the Above,2098,8,2106,1.04
