st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,19,Dabra,KRISHNA POONIA,Indian National Congress,60293,1501,61794,31.6
S12,Madhya Pradesh,19,Dabra,MANOJ KUMAR S/O SWAI SINGH,Bahujan Samaj Party,63782,586,64368,32.92
S12,Madhya Pradesh,19,Dabra,SUNIL KUMAR S/O RAM PAL,Communist Party of India (Marxist),5657,50,5707,2.92
S12,Madhya Pradesh,19,Dabra,SUMITRA POONIA,Bharatiya Janata Party,58308,1121,59429,30.39
S12,Madhya Pradesh,19,Dabra,DHARMVEER SINGH,Bahujan Mukti Party,428,0,428,0.22
S12,Madhya Pradesh,19,Dabra,SATYAVAN SINGH,Aazad Samaj Party (Kanshi Ram),1249,7,1256,0.64
S12,Madhya Pradesh,19,Dabra,GAJANAND SONI,Independent,147,0,147,0.08
S12,Madhya Pradesh,19,Dabra,MANOJ KUMAR S/O KESHAR DEV,Independent,353,3,356,0.18
S12,Madhya Pradesh,19,Dabra,RAJ KUMAR SONI,Independent,270,3,273,0.14
S12,Madhya Pradesh,19,Dabra,RAJENDER SINGH,Independent,243,0,243,0.12
S12,Madhya Pradesh,19,Dabra,SANTOSH KANWAR,Independent,285,2,287,0.15
S12,Madhya Pradesh,19,Dabra,SUNIL KUMAR S/O DEEPCHAND,Independent,392,0,392,0.2
S12,Madhya Pradesh,19,Dabra,NOTA,None of the Above,851,9,860,0.44
