st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,6,Morena,KRISHAN LAL MAGWAL,Bahujan Samaj Party,1626,11,1637,0.85
S12,Madhya Pradesh,6,Morena,SHIMLA DEVI,Indian National Congress,101597,1149,102746,53.18
S12,Madhya Pradesh,6,Morena,SHOBHA SINGH,Communist Party of India (Marxist),8843,43,8886,4.6
S12,Madhya Pradesh,6,Morena,SANTOSH BAWRI,Bharatiya Janata Party,64501,364,64865,33.58
S12,Madhya Pradesh,6,Morena,SUNDER PAL,Rashtriya Loktantrik Party,1604,5,1609,0.83
S12,Madhya Pradesh,6,Morena,OMPRAKASH,Majdoor Kisan Akali Dal,669,0,669,0.35
S12,Madhya Pradesh,6,Morena,SHIMLA BAWRI,Independent,10862,71,10933,5.66
S12,Madhya Pradesh,6,Morena,NOTA,None of the Above,1831,16,1847,0.96
