st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,146,Sirohi,MEETHA RAM,Independent,407,3,410,0.2
S20,Rajasthan,146,Sirohi,HEMANT PUROHIT,Independent,2261,8,2269,1.12
S20,Rajasthan,146,Sirohi,NOTA,None of the Above,2329,10,2339,1.15
S20,Rajasthan,147,Pindwara Abu,Leelaram Grasiya,Indian National Congress,56917,636,57553,35.7
S20,Rajasthan,147,Pindwara Abu,SAMARAM,Bharatiya Janata Party,70083,564,70647,43.82
S20,Rajasthan,147,Pindwara Abu,Surendra Kumar,Bahujan Samaj Party,1611,2,1613,1.0
S20,Rajasthan,147,Pindwara Abu,Amarsingh Kalundha,Bheem Tribal Congress,2053,0,2053,1.27
S20,Rajasthan,147,Pindwara Abu,Megharam Garasiya,Bharat Adivasi Party,23806,88,23894,14.82
S20,Rajasthan,147,Pindwara Abu,Kapura Ram Meena,Independent,1794,4,1798,1.12
S20,Rajasthan,147,Pindwara Abu,NOTA,None of the Above,3654,12,3666,2.27
S20,Rajasthan,148,Reodar,JAGSI RAM,Bharatiya Janata Party,89226,330,89556,45.14
S20,Rajasthan,148,Reodar,MOTIRAM,Indian National Congress,92567,553,93120,46.94
S20,Rajasthan,148,Reodar,VEENA RAM,Bahujan Samaj Party,3784,13,3797,1.91
S20,Rajasthan,148,Reodar,GANPAT LAL,Bharat Adivasi Party,2302,17,2319,1.17
S20,Rajasthan,148,Reodar,SANGEETA RALHAN,Bheem Tribal Congress,1235,1,1236,0.62
S20,Rajasthan,148,Reodar,GOPAL DANA,Independent,3162,17,3179,1.6
S20,Rajasthan,148,Reodar,NOTA,None of the Above,5174,4,5178,2.61
S20,Rajasthan,149,Gogunda,Dalapat Ram Garasiya,Bahujan Samaj Party,3398,2,3400,1.73
S20,Rajasthan,149,Gogunda,Pratap Lal Bheel,Bharatiya Janata Party,87315,512,87827,44.58
S20,Rajasthan,149,Gogunda,Dr. Mangi Lal Garasiya,Indian National Congress,83557,605,84162,42.72
S20,Rajasthan,149,Gogunda,Hema Ram,Aam Aadmi Party,2479,4,2483,1.26
S20,Rajasthan,149,Gogunda,Udai Lal Bhil,Bharat Adivasi Party,8075,19,8094,4.11
S20,Rajasthan,149,Gogunda,Lahara,Communist Party of India,2763,10,2773,1.41
S20,Rajasthan,149,Gogunda,Prem Chand Gameti,Independent,2615,2,2617,1.33
S20,Rajasthan,149,Gogunda,Batti Lal Meena,Independent,2111,3,2114,1.07
S20,Rajasthan,149,Gogunda,NOTA,None of the Above,3524,3,3527,1.79
S20,Rajasthan,150,Jhadol,Nima Lal,Bahujan Samaj Party,4125,1,4126,1.89
S20,Rajasthan,150,Jhadol,Prem Chand Pargi,Communist Party of India (Marxist),4517,22,4539,2.08
S20,Rajasthan,150,Jhadol,Babulal Kharadi,Bharatiya Janata Party,75881,656,76537,34.99
S20,Rajasthan,150,Jhadol,Heeralal Darangi,Indian National Congress,69222,827,70049,32.02
S20,Rajasthan,150,Jhadol,Dinesh Pandor,Bharat Adivasi Party,44175,328,44503,20.34
