st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,5,Raisinghnagar,JASAPRIT,Bahujan Samaj Party,982,2,984,0.46
S20,Rajasthan,5,Raisinghnagar,DARSHAN SINGH,Rashtriya Loktantrik Party,927,17,944,0.44
S20,Rajasthan,5,Raisinghnagar,DHANNARAM,Aam Aadmi Party,970,7,977,0.46
S20,Rajasthan,5,Raisinghnagar,BALVIR SINGH LUTHRA,Bharatiya Janata Party,64866,695,65561,30.54
S20,Rajasthan,5,Raisinghnagar,SHYOPAT RAM,Communist Party of India (Marxist),60652,405,61057,28.44
S20,Rajasthan,5,Raisinghnagar,SOHAN LAL NAYAK,Indian National Congress,78532,1054,79586,37.08
S20,Rajasthan,5,Raisinghnagar,NAHAR SINGH,Majdoor Kisan Akali Dal,890,0,890,0.41
S20,Rajasthan,5,Raisinghnagar,VINOD KUMAR,Rashtravadi Bharat Party,407,0,407,0.19
S20,Rajasthan,5,Raisinghnagar,SHAMSHER SINGH,Jai Hind Congress Party,611,0,611,0.28
S20,Rajasthan,5,Raisinghnagar,GOGA DEVI,Independent,669,1,670,0.31
S20,Rajasthan,5,Raisinghnagar,CHETRAM,Independent,840,7,847,0.39
S20,Rajasthan,5,Raisinghnagar,RAJENDER SINGH,Independent,597,2,599,0.28
S20,Rajasthan,5,Raisinghnagar,NOTA,None of the Above,1503,19,1522,0.71
