st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,135,Harda,JOGA RAM DUDI,Rashtriya Loktantrik Party,1679,3,1682,0.78
S12,Madhya Pradesh,135,Harda,DEEPAK KARWASARA,Bharatiya Janata Party,5258,97,5355,2.47
S12,Madhya Pradesh,135,Harda,BHAGWAN SINGH,Aam Aadmi Party,2279,3,2282,1.05
S12,Madhya Pradesh,135,Harda,MEWARAM JAIN,Indian National Congress,92298,1313,93611,43.16
S12,Madhya Pradesh,135,Harda,HARKHA RAM MEGHWAL,Bahujan Samaj Party,2050,3,2053,0.95
S12,Madhya Pradesh,135,Harda,SURESH KUMAR MEGHWAL,Bahujan Mukti Party,1400,4,1404,0.65
S12,Madhya Pradesh,135,Harda,DR. PRIYANKA CHOWDHARY,Independent,105420,1528,106948,49.3
S12,Madhya Pradesh,135,Harda,BABU LAL,Independent,1245,2,1247,0.57
S12,Madhya Pradesh,135,Harda,HARKHA RAM,Independent,770,5,775,0.36
S12,Madhya Pradesh,135,Harda,NOTA,None of the Above,1553,6,1559,0.72
