st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,116,Jaitaran,AVINASH GEHLOT,Bharatiya Janata Party,65671,606,66277,31.05
S20,Rajasthan,116,Jaitaran,SAROJ MEGHWAL,Bahujan Samaj Party,1353,4,1357,0.64
S20,Rajasthan,116,Jaitaran,SURENDRA GOYAL,Indian National Congress,52058,693,52751,24.71
S20,Rajasthan,116,Jaitaran,GOPALSINGH,Abhinav Rajasthan Party,998,0,998,0.47
S20,Rajasthan,116,Jaitaran,DILIP CHOUDHARY,Aazad Samaj Party (Kanshi Ram),27718,349,28067,13.15
S20,Rajasthan,116,Jaitaran,NATHUSINGH NARUKA,Abhinav Loktantra Party,716,0,716,0.34
S20,Rajasthan,116,Jaitaran,BHAGWANSINGH,Bharat Lok Sewak Party,594,0,594,0.28
S20,Rajasthan,116,Jaitaran,MUKUT SINGH,Independent,19073,35,19108,8.95
S20,Rajasthan,116,Jaitaran,YOGI LAXMAN NATH,Independent,40282,257,40539,18.99
S20,Rajasthan,116,Jaitaran,NOTA,None of the Above,3053,7,3060,1.43
