st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,72,Deeg-Kumher,MANUDEV,Rashtriya Loktantrik Party,1007,8,1015,0.57
S20,Rajasthan,72,Deeg-Kumher,VISHVENDRA SINGH,Indian National Congress,79233,1935,81168,45.65
S20,Rajasthan,72,Deeg-Kumher,DR. SHAILESH SINGH,Bharatiya Janata Party,87712,1351,89063,50.09
S20,Rajasthan,72,Deeg-Kumher,HARIOM SHARMA,Bahujan Samaj Party,4455,32,4487,2.52
S20,Rajasthan,72,Deeg-Kumher,POONAM,Independent,211,3,214,0.12
S20,Rajasthan,72,Deeg-Kumher,RAJ KUMAR,Independent,195,2,197,0.11
S20,Rajasthan,72,Deeg-Kumher,SURENDRA SINGH SINSINWAR,Independent,463,1,464,0.26
S20,Rajasthan,72,Deeg-Kumher,HARISHANKAR,Independent,476,0,476,0.27
S20,Rajasthan,72,Deeg-Kumher,NOTA,None of the Above,726,8,734,0.41
