st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,17,Gwalior South,GIRDHARI LAL,Communist Party of India (Marxist),56198,300,56498,27.99
S12,Madhya Pradesh,17,Gwalior South,TARACHAND,Bharatiya Janata Party,65361,329,65690,32.55
S12,Madhya Pradesh,17,Gwalior South,MANGLARAM GODARA,Indian National Congress,57100,465,57565,28.52
S12,Madhya Pradesh,17,Gwalior South,RAJENDRA MEGHWAL BAPEU,Bahujan Samaj Party,6354,25,6379,3.16
S12,Madhya Pradesh,17,Gwalior South,DR. VIVEK MACHRA,Rashtriya Loktantrik Party,3464,14,3478,1.72
S12,Madhya Pradesh,17,Gwalior South,ASARAM,Asankhya Samaj Party,319,0,319,0.16
S12,Madhya Pradesh,17,Gwalior South,SHARWANSINGH PUNDALSAR,Abhinav Rajasthan Party,999,2,1001,0.5
S12,Madhya Pradesh,17,Gwalior South,APRAJIT BAIDA,Independent,220,0,220,0.11
S12,Madhya Pradesh,17,Gwalior South,ISHWAR CHAND,Independent,213,0,213,0.11
S12,Madhya Pradesh,17,Gwalior South,NARAYAN,Independent,420,2,422,0.21
S12,Madhya Pradesh,17,Gwalior South,PREETI SHARMA,Independent,3229,13,3242,1.61
S12,Madhya Pradesh,17,Gwalior South,BHIKHA RAM NAI,Independent,512,0,512,0.25
S12,Madhya Pradesh,17,Gwalior South,MANOJ KUMAR SARSWAT,Independent,1415,0,1415,0.7
S12,Madhya Pradesh,17,Gwalior South,SANWATSINGH,Independent,1444,0,1444,0.72
S12,Madhya Pradesh,17,Gwalior South,NOTA,None of the Above,3436,3,3439,1.7
