st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,23,Karera,UIKE RAMDYAL,Bharatiya Janata Party,46237,285,46522,25.12
S12,Madhya Pradesh,23,Karera,CHHATRAPAL SINGH KANWAR,Janta Congress Chhattisgarh (J),5005,48,5053,2.73
S12,Madhya Pradesh,23,Karera,DULESHWARI SIDAR,Indian National Congress,59892,256,60148,32.48
S12,Madhya Pradesh,23,Karera,TULESHWAR HIRA SINGH MARKAM,Gondvana Gantantra Party,60607,255,60862,32.87
S12,Madhya Pradesh,23,Karera,DEVRAJ SINGH MARKAM,Chhattisgarhiya Party,994,1,995,0.54
S12,Madhya Pradesh,23,Karera,ANAND KUMAR TANWAR,Independent,1537,2,1539,0.83
S12,Madhya Pradesh,23,Karera,CHHAVI RAJ,Independent,3922,5,3927,2.12
S12,Madhya Pradesh,23,Karera,BABU SINGH KANWAR,Independent,1254,0,1254,0.68
S12,Madhya Pradesh,23,Karera,SHIVRAT PAIKRA (KANWAR),Independent,1303,3,1306,0.71
S12,Madhya Pradesh,23,Karera,NOTA,None of the Above,3554,3,3557,1.92
