st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,85,Jaitpur,JAGMOHAN BAGHEL,Aam Aadmi Party,2529,22,2551,1.79
S12,Madhya Pradesh,85,Jaitpur,BAGHEL LAKHESHWAR,Indian National Congress,67991,410,68401,47.92
S12,Madhya Pradesh,85,Jaitpur,MANIRAM KASHYAP,Bharatiya Janata Party,61640,327,61967,43.41
S12,Madhya Pradesh,85,Jaitpur,RAMDHAR BAGHEL,Bahujan Samaj Party,1746,5,1751,1.23
S12,Madhya Pradesh,85,Jaitpur,SONSAY KASHYAP,Janta Congress Chhattisgarh (J),1929,4,1933,1.35
S12,Madhya Pradesh,85,Jaitpur,PHULKUNWAR BAGHEL,Communist Party of India,771,1,772,0.54
S12,Madhya Pradesh,85,Jaitpur,LAKHESHWAR KASHYAP,Hamar Raj Party,1370,9,1379,0.97
S12,Madhya Pradesh,85,Jaitpur,SHIVRAM NAG,Sarv Adi Dal,1250,0,1250,0.88
S12,Madhya Pradesh,85,Jaitpur,NOTA,None of the Above,2735,3,2738,1.92
