st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S26,Chhattisgarh,15,Lailunga,MANISHA GOND,Janta Congress Chhattisgarh (J),1508,4,1512,0.86
S26,Chhattisgarh,15,Lailunga,VIDYAWATI SIDAR,Indian National Congress,84156,510,84666,48.2
S26,Chhattisgarh,15,Lailunga,SUNITI SATYANAND RATHIYA,Bharatiya Janata Party,80179,311,80490,45.82
S26,Chhattisgarh,15,Lailunga,AJAY KUMAR PANKAJ,Hamar Raj Party,1524,15,1539,0.88
S26,Chhattisgarh,15,Lailunga,RAGHUVEER RATHIYA,Gondvana Gantantra Party,2178,8,2186,1.24
S26,Chhattisgarh,15,Lailunga,SHRAWAN BHAGAT,Bahujan Mukti Party,563,1,564,0.32
S26,Chhattisgarh,15,Lailunga,BHAJAN SIDAR,Independent,980,0,980,0.56
S26,Chhattisgarh,15,Lailunga,MAHENDRA KUMAR SIDAR,Independent,1394,4,1398,0.8
S26,Chhattisgarh,15,Lailunga,NOTA,None of the Above,2317,11,2328,1.33
