st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,26,Pichhore,ARUN SAO,Bharatiya Janata Party,74566,504,75070,47.8
S12,Madhya Pradesh,26,Pichhore,THANESHVAR SAHU,Indian National Congress,28927,252,29179,18.58
S12,Madhya Pradesh,26,Pichhore,MANBHAJAN SAHEB TANDAN,Aam Aadmi Party,1202,4,1206,0.77
S12,Madhya Pradesh,26,Pichhore,SAGAR SINGH BAIS,Janta Congress Chhattisgarh (J),15695,215,15910,10.13
S12,Madhya Pradesh,26,Pichhore,PARAS RAM YADAV,Johar Chhattisgarh Party,308,2,310,0.2
S12,Madhya Pradesh,26,Pichhore,MAKHAN PRAJAPATI,Pragatisheel Samaj Party,228,0,228,0.15
S12,Madhya Pradesh,26,Pichhore,MILAU YADAV,Samajwadi Party,148,0,148,0.09
S12,Madhya Pradesh,26,Pichhore,LAXMAN SINGH PORTE,Bhartiya Sarvjan Hitay Samaj Party,152,2,154,0.1
S12,Madhya Pradesh,26,Pichhore,SURENDRA DATT YADAV,Bhartiya Shakti Chetna Party,391,3,394,0.25
S12,Madhya Pradesh,26,Pichhore,SANTOSH KAIVART,Gondvana Gantantra Party,2665,24,2689,1.71
S12,Madhya Pradesh,26,Pichhore,RISHABH DEVAL,Independent,202,0,202,0.13
S12,Madhya Pradesh,26,Pichhore,KOMAL RAJPUT,Independent,304,3,307,0.2
S12,Madhya Pradesh,26,Pichhore,DHARMENDRA KUMAR SEN,Independent,553,2,555,0.35
S12,Madhya Pradesh,26,Pichhore,BABITA TONDE,Independent,605,1,606,0.39
S12,Madhya Pradesh,26,Pichhore,MAHESH KUMAR SONWANI,Independent,957,0,957,0.61
S12,Madhya Pradesh,26,Pichhore,VEENA MARKANDE,Independent,3197,0,3197,2.04
S12,Madhya Pradesh,26,Pichhore,SANJEET BURMAN,Independent,24959,167,25126,16.0
S12,Madhya Pradesh,26,Pichhore,NOTA,None of the Above,813,1,814,0.52
