st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S26,Chhattisgarh,58,Dhamtari,ONKAR SAHU,Indian National Congress,87900,644,88544,48.44
S26,Chhattisgarh,58,Dhamtari,GHANARAM SAHU,Bahujan Samaj Party,1094,8,1102,0.6
S26,Chhattisgarh,58,Dhamtari,FIROZ KHAN APNA,Janta Congress Chhattisgarh (J),372,3,375,0.21
S26,Chhattisgarh,58,Dhamtari,RANJNA DIPENDRA SAHU,Bharatiya Janata Party,85256,682,85938,47.02
S26,Chhattisgarh,58,Dhamtari,GEETA SARTHI,Socialist Unity Centre Of India (COMMUNIST),874,1,875,0.48
S26,Chhattisgarh,58,Dhamtari,NIKHILESH DEWAN SAHU,Johar Chhattisgarh Party,543,4,547,0.3
S26,Chhattisgarh,58,Dhamtari,NIRANJAN PATEL,Bhartiya Shakti Chetna Party,419,3,422,0.23
S26,Chhattisgarh,58,Dhamtari,BALRAM MANDAVI,Hamar Raj Party,442,16,458,0.25
S26,Chhattisgarh,58,Dhamtari,SADIK HUSAIN BABA BHAI,Rashtriya Hind Ekta Dal,318,1,319,0.17
S26,Chhattisgarh,58,Dhamtari,AMAN KUMAR KOSRIYA,Independent,635,1,636,0.35
S26,Chhattisgarh,58,Dhamtari,ROHIT KUMAR,Independent,243,0,243,0.13
S26,Chhattisgarh,58,Dhamtari,LUKESHWARI SURENDRA SAHU,Independent,625,2,627,0.34
S26,Chhattisgarh,58,Dhamtari,NOTA,None of the Above,2671,24,2695,1.47
